location;didok;geschaeft;kategorie;ebene;bahnhof;offen;url;email;tel;beschreibung;payment_accepted;geo
https://lod.opentransportdata.swiss/place/8503000/geo-laeckerli-huus-6ebe;http://lod.opentransportdata.swiss/didok/8503000;Läckerli Huus;Lebensmittel / Getränke;Untergeschoss;Zürich HB;So 09:00-20:00;http://www.laeckerli-huus.ch/;laden.zuerich@laeckerli-huus.ch;+41 61 264 22 23;"Basler Läckerli, Speziälitäten.
Entdecken Sie das berühmte Original Basler Läckerli und seine Variationen, feinste Schokoladenträume sowie eine Fülle von weiteren Köstlichkeiten.";American Express, Dinersclub, Euro, JCB, Maestro, MasterCard, PostFinance, Unionpay, Visa;POINT(8.539911616345815 47.378117061491146)
https://lod.opentransportdata.swiss/place/8503000/geo-migros-take-away-a0eb;http://lod.opentransportdata.swiss/didok/8503000;Migros Take Away;Restaurants / Take-Away;Untergeschoss;Zürich HB;Mo-So 06:00-22:00;https://www.migros.ch/de/gastronomie/restaurant-take-away.html;;+41 44 210 14 53;Im Migros Take Away finden Sie alles für den kleinen und grossen Hunger. Wie immer abwechslungsreich und zu fairen Preisen.;;POINT(8.540224754766516 47.37843439362443)
https://lod.opentransportdata.swiss/place/8503000/geo-calida-674b;http://lod.opentransportdata.swiss/didok/8503000;Calida;Bekleidung;Untergeschoss;Zürich HB;Mo-Fr 08:00-21:00;https://www.calida.com/;;+41 44 212 22 50;Beste Schweizer Qualität, exzellente Verarbeitung und absolutes Wohlgefühl seit mehr als 75 Jahren.;;POINT(8.539388139131622 47.378365114036725)
https://lod.opentransportdata.swiss/place/8503000/geo-wesleys-kitchen-aeba;http://lod.opentransportdata.swiss/didok/8503000;Wesley's Kitchen;Restaurants / Take-Away;Erdgeschoss;Zürich HB;Mo-Fr 09:00-21:00;https://www.wesleys-kitchen.ch;;+41 44 271 35 45;Wesley’s Kitchen steht für authentische Gerichte aus der Strassenküche Shanghais, gepaart mit japanischen und europäischen Einflüssen. Hochwertige Zutaten, handgefertigte Produkte und verschiedenste Zubereitungsarten sprechen alle Sinne an. Kommen Sie vorbei und lassen Sie sich von den feinen Düften verführen. Wir freuen uns!;MasterCard;POINT(8.53707966018156 47.379479044801045)
https://lod.opentransportdata.swiss/place/8503000/geo-sushi-mania-e7a1;http://lod.opentransportdata.swiss/didok/8503000;Sushi Mania;Restaurants / Take-Away;Untergeschoss;Zürich HB;Mo-So 09:00-22:00;http://www.sushimania.ch;;+41 58 563 90 50;;;POINT(8.540308460897407 47.37866928489939)
https://lod.opentransportdata.swiss/place/8503000/geo-burger-king-1f5c;http://lod.opentransportdata.swiss/didok/8503000;Burger King;Restaurants / Take-Away;Erdgeschoss;Zürich HB;Sa 10:00-06:00;https://de.burger-king.ch;info@candriancatering.ch;+41 44 217 15 15;"Burger King - das Erfolgsrezept aus den USA. Das auf offener Flamme grillierte, saftige Rindfleisch gibt unseren Burgern den unverwechselbaren Geschmack.
Probieren Sie unsere ungeschlagene Nummer 1, den Burger King WHOPPER, wahlweise auch mit Cheese oder Bacon.";American Express, Dollar, Euro, Geschenkkarte Bahnhof, Maestro, MasterCard, PostFinance, Visa;POINT(8.540942542130189 47.377440812295944)
https://lod.opentransportdata.swiss/place/8503000/geo-blume-3000-1418;http://lod.opentransportdata.swiss/didok/8503000;Blume 3000;Blumen;Erdgeschoss;Zürich HB;So 08:00-20:00;http://www.blume3000.ch/;blumen@blume3000.ch;+41 44 212 28 77;Alles frisch gilt hier für die Blumen ebenso wie für die floristischen Ideen und den Service. Für zeitgemässe Floristik.;;POINT(8.539692843928737 47.37778817847602)
https://lod.opentransportdata.swiss/place/8503000/geo-blume-3000-1418;http://lod.opentransportdata.swiss/didok/8503000;Blume 3000;Blumen;Erdgeschoss;Zürich HB;Mo-Fr 07:00-21:00;http://www.blume3000.ch/;blumen@blume3000.ch;+41 44 212 28 77;Alles frisch gilt hier für die Blumen ebenso wie für die floristischen Ideen und den Service. Für zeitgemässe Floristik.;;POINT(8.539692843928737 47.37778817847602)
https://lod.opentransportdata.swiss/place/8503000/geo-blume-3000-1418;http://lod.opentransportdata.swiss/didok/8503000;Blume 3000;Blumen;Erdgeschoss;Zürich HB;Sa 07:00-20:00;http://www.blume3000.ch/;blumen@blume3000.ch;+41 44 212 28 77;Alles frisch gilt hier für die Blumen ebenso wie für die floristischen Ideen und den Service. Für zeitgemässe Floristik.;;POINT(8.539692843928737 47.37778817847602)
https://lod.opentransportdata.swiss/place/8503000/geo-bona-dea-7748;http://lod.opentransportdata.swiss/didok/8503000;Bona Dea;Restaurants / Take-Away;Erdgeschoss;Zürich HB;Mo-So 11:30-14:30;http://www.bona-dea.ch;info@candriancatering.ch;+41 44 217 15 15;Das Bona Dea bietet eine Vielfalt an vegetarischen und veganen Spezialitäten und überzeugt, nach seinem Refresh, mit einer gemütlichen Atmosphäre.;;POINT(8.540691153997336 47.37720863672227)
